plate.y	column.y	row.y	numID	genus	species
3	H	12	3H12	sebastes	carnatus
5	A	5	5A5	sebastes	carnatus
5	A	8	5A8	sebastes	carnatus
5	B	1	5B1	sebastes	saxicola
5	C	3	5C3	sebastes	saxicola
5	C	4	5C4	sebastes	saxicola
5	C	5	5C5	sebastes	saxicola
5	C	7	5C7	sebastes	goodei
5	C	6	5C6	sebastes	saxicola
1	A	9	1A9	sebastes	paucispinis
1	E	11	1E11	sebastes	paucispinis
3	A	7	3A7	sebastes	paucispinis
3	A	8	3A8	sebastes	paucispinis
3	B	2	3B2	sebastes	auriculatus
3	B	3	3B3	sebastes	auriculatus
3	B	4	3B4	sebastes	auriculatus
3	B	6	3B6	sebastes	auriculatus
3	B	7	3B7	sebastes	auriculatus
3	B	9	3B9	sebastes	auriculatus
3	A	12	3A12	sebastes	carnatus
3	B	5	3B5	sebastes	carnatus
3	A	11	3A11	sebastes	paucispinis
3	B	11	3B11	sebastes	paucispinis
3	D	10	3D10	sebastes	jordani
3	D	11	3D11	sebastes	jordani
3	E	11	3E11	sebastes	jordani
3	F	3	3F3	sebastes	jordani
3	E	9	3E9	sebastes	paucispinis
3	F	7	3F7	sebastes	jordani
3	F	9	3F9	sebastes	jordani
3	F	10	3F10	sebastes	jordani
3	F	11	3F11	sebastes	jordani
3	F	12	3F12	sebastes	jordani
3	G	1	3G1	sebastes	jordani
3	G	3	3G3	sebastes	jordani
3	G	7	3G7	sebastes	jordani
3	G	12	3G12	sebastes	jordani
3	H	6	3H6	sebastes	rufus
2	E	2	2E2	sebastes	diploproa
2	E	8	E8	sebastes	goodei
2	D	12	2D12	sebastes	jordani
2	E	7	2E7	sebastes	jordani
2	E	4	2E4	sebastes	hopkinsi
2	F	3	2F3	sebastes	hopkinsi
1	E	3	1E3	sebastes	diploproa
2	F	7	2F7	sebastes	jordani
2	F	8	2F8	sebastes	jordani
2	F	10	2F10	sebastes	jordani
2	F	12	2F12	sebastes	jordani
2	G	1	2G1	sebastes	auriculatus
2	G	3	2G3	sebastes	hopkinsi
2	G	2	2G2	sebastes	saxicola
2	G	4	2G4	sebastes	auriculatus
2	G	6	2G6	sebastes	saxicola
2	G	8	2G8	sebastes	jordani
2	G	9	2G9	sebastes	carnatus
2	G	12	2G12	sebastes	carnatus
2	H	3	2H3	sebastes	carnatus
2	G	10	2G10	sebastes	carnatus
2	G	11	2G11	sebastes	jordani
2	H	1	2H1	sebastes	jordani
2	H	2	2H2	sebastes	jordani
2	H	4	2H4	sebastes	jordani
2	H	5	2H5	sebastes	jordani
2	H	8	2H8	sebastes	jordani
2	H	9	2H9	sebastes	jordani
2	H	10	2H10	sebastes	jordani
3	A	3	3A3	sebastes	rufus
3	A	4	3A4	sebastes	rufus
3	A	6	3A6	sebastes	diploproa
4	A	7	4A7	sebastes	saxicola
4	A	8	4A8	sebastes	saxicola
4	A	9	4A9	sebastes	saxicola
4	A	2	4A2	sebastes	auriculatus
4	A	4	4A4	sebastes	jordani
4	A	5	4A5	sebastes	auriculatus
4	A	6	4A6	sebastes	diploproa
4	A	10	4A10	sebastes	auriculatus
4	A	11	4A11	sebastes	auriculatus
4	B	1	4B1	sebastes	auriculatus
4	A	12	4A12	sebastes	maliger
4	B	2	4B2	sebastes	jordani
4	B	3	4B3	sebastes	diploproa
4	B	4	4B4	sebastes	diploproa
4	B	5	4B5	sebastes	diploproa
4	B	6	4B6	sebastes	diploproa
4	B	7	4B7	sebastes	diploproa
4	B	8	4B8	sebastes	diploproa
4	B	9	4B9	sebastes	elongatus
4	C	5	4C5	sebastes	diploproa
4	C	6	4C6	sebastes	diploproa
4	C	7	4C7	sebastes	diploproa
4	C	8	4C8	sebastes	diploproa
4	C	4	4C4	sebastes	diploproa
4	C	2	4C2	sebastes	zacentrus
4	G	6	4G6	sebastes	auriculatus
4	G	12	4G12	sebastes	diploproa
4	H	1	4H1	sebastes	diploproa
4	H	2	4H2	sebastes	diploproa
4	H	3	4H3	sebastes	diploproa
4	H	4	4H4	sebastes	diploproa
4	H	5	4H5	sebastes	diploproa
4	H	6	4H6	sebastes	diploproa
4	H	7	4H7	sebastes	diploproa
4	H	9	4H9	sebastes	auriculatus
4	H	11	4H11	sebastes	auriculatus
4	D	10	4D10	sebastes	auriculatus
4	B	12	4B12	sebastes	carnatus
4	E	10	4E10	sebastes	auriculatus
4	F	3	4F3	sebastes	auriculatus
4	F	4	4F4	sebastes	auriculatus
4	F	5	4F5	sebastes	auriculatus
4	G	1	4G1	sebastes	diploproa
4	F	12	4F12	sebastes	auriculatus
4	F	9	4F9	sebastes	carnatus
4	F	10	4F10	sebastes	carnatus
4	G	3	4G3	sebastes	auriculatus
4	G	2	4G2	sebastes	carnatus
4	G	5	4G5	sebastes	auriculatus
